reins	поводья, почки, чресла	поясница	
bloodline	родословная, род		
woven	ткать, плести, сплетать,	соединять	
frowns	хмуриться, нахмуриться	хмурить брови, хмурый взгляд	сдвинутые брови
passes	проход, передача	перевал, пас, пропуск	пасс, проходить, передавать
wrinkled	морщина, складка	сморщенный	сморщиться, морщиться
bony	костлявый, костистый	костный	
bearer	предъявитель, податель	носильщик, опора, санитар	подушка, плодоносящее растение
disguised	замаскированный, переодетый	пьяный	
impending	надвигающийся	приближающийся	
bid	заявка, предлагаемая цена	предлагать цену, два раза в день	
steep	крутой, отвесный, пропитка	крутизна, обрыв, пропитывать	бучить
thrusts	толчок, удар, упор, выпад	надвиг, толкать, колоть	засовывать, навязывать
patch	заплата, заплатка	нашивка	пятно
darts	дартс		
scramble	схватка, борьба, карабканье	свалка, драка, карабкаться	бороться, цепляться, ползти
harsh	грубый, жёсткий,		
clamber	карабкаться, взобраться	виться, карабканье, трудный подъем	
scrambles	схватка, борьба, карабканье	свалка, драка, карабкаться	бороться, цепляться, ползти
gleaming	блестеть, мерцать, светиться	отблеск, проблеск, слабый свет	
dangling	болтать	свисать	
stature	рост	телосложение	фигура
warily	осторожно		
transfixed	пронзенный	замирающий	
pauses	пауза, перерыв, остановка	замешательство, останавливаться	делать паузу
horn	рог, рожок, рупор	сигнал, роговой	забодать, наставлять рога
chants	петь, воспевать, скандировать	бубнить, песнопение, песнь	
wrath	гнев, ярость	негодование	
converging	сходящийся, сосредоточенный		
frantically	неистово, отчаянно	лихорадочно, судорожно	
wreathed	сплетенный, покрытый		
dusk	сумерки, закат	вечер	
lean	наклон, постное мясо	опираться, наклоняться	постный, худой
looming	смутный, неясные очертания	мираж	
cliff	утес, скала	холм	
sheer	отвесный	чистый, прозрачный	абсолютный
disgust	отвращение, брезгливость	омерзение, внушать отвращение	быть противным
gnarled	сучковатый, шишковатый, узловатый	искривленный, скрюченный	
mumbling	бормотание		
spells	заклинание, период	чары, время, очарование	означать, очаровывать
threshold	порог, преддверие	предел, начало	отправной пункт
slaps	пощечина, шлепок	шлепать, хлопать, 	заляпать, прямо, вдруг, внезапно
splash	всплеск, выплеск	брызги, разбрызгивание	
tossing	качка		
rippling	рябь, пульсация	волновой, волнообразный	
grabs	захват, грейфер, самосхват	ковш, черпак, захватывать	схватывать, прихватывать
ominous	зловещий, угрожающий		
ripples	рябь, пульсация		
despair	отчаяние, уныние,	безысходность, безнадежность	
inscription	надпись, надписание, формула рецепта	краткое посвящение	
comprehension	понимание, осмысление	постижение, охват	разумение, понятливость
swing	качать, раскачивать	махать	распахнуться
stirs	движение, переполох, ажиотаж	шевеление, мешать, размешивать	шевелить, шевелиться
dank	сырой, промозглый, влажный	слишком влажный, сырой и холодный	
winding	извилистый, вьющийся		
snorting	сногсшибательный, необыкновенный		
strewn	разбрасывать	усыпать, осыпать	
peppered	перчить	забрасывать	перец
grimly	мрачно, угрюмо	страшный, грозный	
crude	сырой, неочищенный	грубый, сырье	
ankle	лодыжка	нога, голень	
severs	разрывать, разъединять	перерезать, рвать, рваться	отделять, порывать, отрубать
limbs	конечность		
ripple	рябить	пульсация, зыбь, волнистость	волновой, волнообразный
lashes	ресница, плеть, плетка	бич, удар плетью, хлестать	стегать, бичевать, связывать
flung	бросать, бросаться, швырять	швыряться, кидать, кидаться	брыкаться, запускать
